Unnamed: 0,project,classifier,fold,balanced_acc,feature_extraction
0.0,eclipse,knn,0,0.533874944321583,bert
1.0,eclipse,knn,1,0.554764416315049,bert
2.0,eclipse,knn,2,0.535551130945868,bert
3.0,eclipse,knn,3,0.536377382375695,bert
4.0,eclipse,knn,4,0.539671311042933,bert
5.0,eclipse,knn,5,0.521790496962874,bert
6.0,eclipse,knn,6,0.565699044953264,bert
7.0,eclipse,knn,7,0.5417544408184,bert
8.0,eclipse,knn,8,0.537234291920443,bert
9.0,eclipse,knn,9,0.538956467321156,bert
10.0,eclipse,knn,10,0.518868403776416,bert
11.0,eclipse,knn,11,0.537676774783649,bert
12.0,eclipse,knn,12,0.544712587068177,bert
13.0,eclipse,knn,13,0.553579662686007,bert
14.0,eclipse,knn,14,0.540229727881854,bert
15.0,eclipse,knn,15,0.5315123085307,bert
16.0,eclipse,knn,16,0.52491677802002,bert
17.0,eclipse,knn,17,0.528295081326243,bert
18.0,eclipse,knn,18,0.553194993412385,bert
19.0,eclipse,knn,19,0.547331225772165,bert
20.0,eclipse,knn,20,0.533760954492662,bert
21.0,eclipse,knn,21,0.526052880888812,bert
22.0,eclipse,knn,22,0.550009967400736,bert
23.0,eclipse,knn,23,0.543466554398057,bert
24.0,eclipse,knn,24,0.526241971527246,bert
25.0,eclipse,knn,25,0.530325553593474,bert
26.0,eclipse,knn,26,0.549941927990709,bert
27.0,eclipse,knn,27,0.533406754772394,bert
28.0,eclipse,knn,28,0.553034979624847,bert
29.0,eclipse,knn,29,0.550625356537232,bert
30.0,eclipse,knn,30,0.534739999609169,bert
31.0,eclipse,knn,31,0.545808136284922,bert
32.0,eclipse,knn,32,0.546389768993659,bert
33.0,eclipse,knn,33,0.549209877026709,bert
34.0,eclipse,knn,34,0.534940648761009,bert
35.0,eclipse,knn,35,0.516460905349794,bert
36.0,eclipse,knn,36,0.538337893296854,bert
37.0,eclipse,knn,37,0.54554890921886,bert
38.0,eclipse,knn,38,0.553291131821112,bert
39.0,eclipse,knn,39,0.542697104206299,bert
40.0,eclipse,knn,40,0.551990294676138,bert
41.0,eclipse,knn,41,0.527087526625369,bert
42.0,eclipse,knn,42,0.567361111111111,bert
43.0,eclipse,knn,43,0.500727264896695,bert
44.0,eclipse,knn,44,0.537484505687439,bert
45.0,eclipse,knn,45,0.540530543225534,bert
46.0,eclipse,knn,46,0.551877736940882,bert
47.0,eclipse,knn,47,0.566007514530048,bert
48.0,eclipse,knn,48,0.525074731844558,bert
49.0,eclipse,knn,49,0.537462541365663,bert
50.0,eclipse,nb,0,0.568239272624974,bert
51.0,eclipse,nb,1,0.558438818565401,bert
52.0,eclipse,nb,2,0.553603668735248,bert
53.0,eclipse,nb,3,0.55119616944464,bert
54.0,eclipse,nb,4,0.580870771696012,bert
55.0,eclipse,nb,5,0.558461736907526,bert
56.0,eclipse,nb,6,0.554185121912126,bert
57.0,eclipse,nb,7,0.557484415609794,bert
58.0,eclipse,nb,8,0.552029167822415,bert
59.0,eclipse,nb,9,0.550826260413815,bert
60.0,eclipse,nb,10,0.55630822495936,bert
61.0,eclipse,nb,11,0.56555324937264,bert
62.0,eclipse,nb,12,0.546272192124581,bert
63.0,eclipse,nb,13,0.553664655495811,bert
