tn,fp,fn,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,threshold,hyper1,value1,hyper2,value2,seed,row
772,538,323,929,Fold1,0.6639344262295082,0.7420127795527156,0.5893129770992367,0.6656628783259761,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
772,538,323,929,Fold1,0.6639344262295082,0.7420127795527156,0.5893129770992367,0.6656628783259761,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
772,538,323,929,Fold1,0.6639344262295082,0.7420127795527156,0.5893129770992367,0.6656628783259761,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
667,643,254,998,Fold1,0.6498829039812647,0.7971246006389776,0.5091603053435114,0.6531424529912445,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
667,643,254,998,Fold1,0.6498829039812647,0.7971246006389776,0.5091603053435114,0.6531424529912445,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
667,643,254,998,Fold1,0.6498829039812647,0.7971246006389776,0.5091603053435114,0.6531424529912445,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
667,643,254,998,Fold1,0.6498829039812647,0.7971246006389776,0.5091603053435114,0.6531424529912445,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
667,643,254,998,Fold1,0.6498829039812647,0.7971246006389776,0.5091603053435114,0.6531424529912445,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
667,643,254,998,Fold1,0.6498829039812647,0.7971246006389776,0.5091603053435114,0.6531424529912445,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
717,593,280,972,Fold1,0.6592505854800936,0.7763578274760383,0.5473282442748092,0.6618430358754237,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
717,593,280,972,Fold1,0.6592505854800936,0.7763578274760383,0.5473282442748092,0.6618430358754237,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
717,593,280,972,Fold1,0.6592505854800936,0.7763578274760383,0.5473282442748092,0.6618430358754237,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
717,593,280,972,Fold1,0.6592505854800936,0.7763578274760383,0.5473282442748092,0.6618430358754237,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
717,593,280,972,Fold1,0.6592505854800936,0.7763578274760383,0.5473282442748092,0.6618430358754237,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
717,593,280,972,Fold1,0.6592505854800936,0.7763578274760383,0.5473282442748092,0.6618430358754237,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
667,643,254,998,Fold1,0.6498829039812647,0.7971246006389776,0.5091603053435114,0.6531424529912445,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
667,643,254,998,Fold1,0.6498829039812647,0.7971246006389776,0.5091603053435114,0.6531424529912445,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
667,643,254,998,Fold1,0.6498829039812647,0.7971246006389776,0.5091603053435114,0.6531424529912445,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
667,643,254,998,Fold1,0.6498829039812647,0.7971246006389776,0.5091603053435114,0.6531424529912445,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
667,643,254,998,Fold1,0.6498829039812647,0.7971246006389776,0.5091603053435114,0.6531424529912445,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
