tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,hyper1,value1,hyper2,value2,hyper3,value3,seed,row
872,0,70,0,Fold06,0.9256900212314225,0,0.9256900212314225,0.46284501061571126,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,283,2
873,0,69,0,Fold07,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,283,2
873,0,69,0,Fold08,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,283,2
873,0,69,0,Fold09,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,283,2
873,0,70,0,Fold10,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,283,2
873,0,70,0,Fold01,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,1087,2
873,0,70,0,Fold02,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,1087,2
873,0,69,0,Fold03,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,1087,2
873,0,70,0,Fold04,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,1087,2
873,0,69,0,Fold05,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,1087,2
873,0,70,0,Fold06,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,1087,2
873,0,70,0,Fold07,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,1087,2
