tn,fp,fn,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,threshold,hyper1,value1,hyper2,value2,seed,row
0,0,0,0,Fold1.Rep1,NA,0,0,0,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,5,usekernel,FALSE,144,1
0,0,0,0,Fold1.Rep1,NA,0,0,0,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,5,usekernel,FALSE,144,1
0,0,0,0,Fold1.Rep1,NA,0,0,0,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,5,usekernel,FALSE,144,1
0,0,0,0,Fold1.Rep1,NA,0,0,0,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,5,usekernel,FALSE,144,1
0,0,0,0,Fold1.Rep1,NA,0,0,0,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,5,usekernel,FALSE,144,1
0,0,0,0,Fold1.Rep1,NA,0,0,0,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,5,usekernel,FALSE,144,1
2,336,0,318,Fold1.Rep1,0.4878048780487805,1,0.005917159763313609,0.5029585798816568,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,5,usekernel,FALSE,144,1
2,336,0,318,Fold1.Rep1,0.4878048780487805,1,0.005917159763313609,0.5029585798816568,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,5,usekernel,FALSE,144,1
2,336,0,318,Fold1.Rep1,0.4878048780487805,1,0.005917159763313609,0.5029585798816568,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,5,usekernel,FALSE,144,1
2,336,0,318,Fold1.Rep1,0.4878048780487805,1,0.005917159763313609,0.5029585798816568,eclipse,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,5,usekernel,FALSE,144,1
