tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,threshold,hyper1,value1,hyper2,value2,seed,row
727,39,43,682,Fold04,0.9450033534540577,0.9459084604715673,0.9441558441558442,0.9450321523137057,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,3581,3
724,41,31,693,Fold05,0.951645399597045,0.944141689373297,0.9589403973509933,0.9515410433621452,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,3581,3
725,41,36,689,Fold06,0.9483568075117371,0.9438356164383561,0.9526938239159002,0.9482647201771282,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,3581,3
719,47,42,683,Fold07,0.9403085177733065,0.9356164383561644,0.9448094612352168,0.9402129497956906,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,3581,3
723,43,44,681,Fold08,0.9416498993963782,0.9406077348066298,0.9426336375488917,0.9416206861777607,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,3581,3
724,42,21,704,Fold09,0.9577464788732394,0.9436997319034852,0.9718120805369127,0.957755906220199,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,3581,3
723,43,37,688,Fold10,0.9463447350771295,0.9411764705882353,0.9513157894736842,0.9462461300309597,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,3581,3
861,16,3,837,Fold01,0.9889341875364007,0.981242672919109,0.9965277777777778,0.9888852253484435,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,4
864,13,2,838,Fold02,0.9912638322655795,0.9847238542890717,0.9976905311778291,0.9912071927334505,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,4
864,13,2,838,Fold03,0.9912638322655795,0.9847238542890717,0.9976905311778291,0.9912071927334505,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,4
865,12,2,838,Fold04,0.9918462434478742,0.9858823529411764,0.9976931949250288,0.9917877739331027,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,4
865,12,3,837,Fold05,0.9912638322655795,0.9858657243816255,0.9965437788018433,0.9912047515917344,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,4
866,11,2,838,Fold06,0.9924286546301689,0.9870435806831567,0.9976958525345622,0.9923697166088594,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,4
866,11,5,835,Fold07,0.9906814210832848,0.9869976359338062,0.9942594718714122,0.9906285539026092,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,4
871,6,4,836,Fold08,0.994175888177053,0.9928741092636579,0.9954285714285714,0.9941513403461146,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,4
871,6,4,836,Fold09,0.994175888177053,0.9928741092636579,0.9954285714285714,0.9941513403461146,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,4
868,9,1,839,Fold10,0.994175888177053,0.9893867924528302,0.998849252013809,0.9941180222333197,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,144,4
863,14,3,837,Fold01,0.9900990099009901,0.9835487661574618,0.9965357967667436,0.9900422814621027,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,283,4
862,15,4,836,Fold02,0.9889341875364007,0.982373678025852,0.9953810623556582,0.9888773701907551,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,283,4
872,5,1,839,Fold03,0.9965055329062318,0.9940758293838863,0.9988545246277205,0.9964651770058034,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,283,4
869,8,5,835,Fold04,0.9924286546301689,0.9905100830367735,0.994279176201373,0.9923946296190732,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,283,4
865,12,2,838,Fold05,0.9918462434478742,0.9858823529411764,0.9976931949250288,0.9917877739331027,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,283,4
866,11,9,831,Fold06,0.988351776354106,0.9869358669833729,0.9897142857142858,0.9883250763488294,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,283,4
866,11,3,837,Fold07,0.9918462434478742,0.9870283018867925,0.996547756041427,0.9917880289641097,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,283,4
870,7,2,838,Fold08,0.9947582993593477,0.991715976331361,0.9977064220183486,0.9947111991748547,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,283,4
865,12,0,840,Fold09,0.9930110658124636,0.9859154929577465,1,0.9929577464788732,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,283,4
864,13,5,835,Fold10,0.9895165987186954,0.9846698113207547,0.9942462600690449,0.9894580356948999,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,283,4
869,8,3,837,Fold01,0.9935934769947583,0.9905325443786982,0.9965596330275229,0.9935460887031106,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,1087,4
867,10,0,840,Fold02,0.994175888177053,0.9882352941176471,1,0.9941176470588236,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,1087,4
863,14,2,838,Fold03,0.9906814210832848,0.9835680751173709,0.9976878612716763,0.9906279681945236,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,1087,4
864,13,1,839,Fold04,0.9918462434478742,0.9847417840375586,0.9988439306358381,0.9917928573366983,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,1087,4
868,9,0,840,Fold05,0.9947582993593477,0.9893992932862191,1,0.9946996466431095,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,1087,4
867,10,3,837,Fold06,0.9924286546301689,0.9881936245572609,0.996551724137931,0.992372674347596,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,1087,4
871,6,6,834,Fold07,0.9930110658124636,0.9928571428571429,0.9931584948688712,0.993007818863007,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,1087,4
866,11,1,839,Fold08,0.9930110658124636,0.9870588235294118,0.9988465974625144,0.992952710495963,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,1087,4
866,11,5,835,Fold09,0.9906814210832848,0.9869976359338062,0.9942594718714122,0.9906285539026092,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,1087,4
863,14,3,837,Fold10,0.9900990099009901,0.9835487661574618,0.9965357967667436,0.9900422814621027,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,1087,4
859,18,1,839,Fold01,0.9889341875364007,0.9789964994165694,0.9988372093023256,0.9889168543594475,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,2293,4
875,2,3,837,Fold02,0.9970879440885265,0.9976162097735399,0.9965831435079726,0.9970996766407563,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,2293,4
866,11,3,837,Fold03,0.9918462434478742,0.9870283018867925,0.996547756041427,0.9917880289641097,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,2293,4
867,10,1,839,Fold04,0.9935934769947583,0.9882214369846879,0.9988479262672811,0.9935346816259845,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,2293,4
867,10,4,836,Fold05,0.9918462434478742,0.9881796690307328,0.9954075774971297,0.9917936232639313,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,2293,4
868,9,7,833,Fold06,0.9906814210832848,0.9893111638954869,0.992,0.9906555819477434,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,2293,4
860,17,3,837,Fold07,0.988351776354106,0.9800936768149883,0.996523754345307,0.9883087155801477,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,2293,4
867,10,1,839,Fold08,0.9935934769947583,0.9882214369846879,0.9988479262672811,0.9935346816259845,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,2293,4
867,10,6,834,Fold09,0.9906814210832848,0.9881516587677726,0.993127147766323,0.9906394032670478,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,2293,4
862,15,6,834,Fold10,0.9877693651718114,0.9823321554770318,0.9930875576036866,0.9877098565403593,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,2293,4
868,9,5,835,Fold01,0.9918462434478742,0.9893364928909952,0.9942726231386025,0.9918045580147989,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,3581,4
869,8,3,837,Fold02,0.9935934769947583,0.9905325443786982,0.9965596330275229,0.9935460887031106,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,3581,4
869,8,2,838,Fold03,0.994175888177053,0.9905437352245863,0.9977037887485649,0.9941237619865756,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,3581,4
867,10,9,831,Fold04,0.9889341875364007,0.9881093935790726,0.9897260273972602,0.9889177104881663,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,3581,4
864,13,6,834,Fold05,0.9889341875364007,0.9846517119244392,0.993103448275862,0.9888775801001506,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,3581,4
861,16,2,838,Fold06,0.9895165987186954,0.9812646370023419,0.9976825028968713,0.9894735699496067,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,3581,4
864,13,2,838,Fold07,0.9912638322655795,0.9847238542890717,0.9976905311778291,0.9912071927334505,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,3581,4
870,7,5,835,Fold08,0.9930110658124636,0.9916864608076009,0.9942857142857143,0.9929860875466576,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,3581,4
862,15,4,836,Fold09,0.9889341875364007,0.982373678025852,0.9953810623556582,0.9888773701907551,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,3581,4
864,13,5,835,Fold10,0.9895165987186954,0.9846698113207547,0.9942462600690449,0.9894580356948999,eclipse,svm,smote,cv10,Accuracy,150,long_description,365,sigma,0.03125,C,32,3581,4
